Date,Open,High,Low,Close,Adj Close,Volume,SMA_20,EMA_20,RSI,MACD,MACD_Signal,std_20,Bollinger_Band_Upper,Bollinger_Band_Lower,%K,%D,TR,ATR,Daily returns,Weekly returns,Label
2012-01-02,344.8999938964844,352.08123779296875,342.75,351.1187438964844,268.8161926269531,5826176,,351.1187438964844,,0.0,0.0,,,,,,,,,,1
2012-01-03,353.01251220703125,360.8687438964844,352.5,358.0375061035156,274.1131591796875,8903008,,351.77767363048736,,0.5519240507032919,0.11038481014065837,,,,,,9.75,,0.0197049070358688,,0
2012-01-04,355.625,359.375,355.1312561035156,356.79998779296875,273.16571044921875,7341424,,352.2559892650094,,0.8793340365872382,0.2641746554299743,,,,,,4.243743896484375,,-0.003456392946131981,,0
2012-01-05,354.8999938964844,359.5,353.9312438964844,355.01873779296875,271.802001953125,7125272,,352.51910817243413,,0.9837369139996213,0.4080871071439037,,,,,,5.568756103515625,,-0.004992292771695883,,0
2012-01-06,354.75,358.45001220703125,351.38751220703125,354.01873779296875,271.0364074707031,7087632,,352.66193004105645,,0.9745512833227963,0.5213799423796823,,,,,,7.0625,,-0.0028167527331561804,,0
2012-01-09,355.9375,358.2875061035156,352.1499938964844,354.5687561035156,271.4575500488281,8265784,,352.8435325231954,,1.0001246711457839,0.6171288881329027,,,,,,6.13751220703125,,0.001553641804317607,0.00982577053205791,0
2012-01-10,358.75,359.42498779296875,356.2749938964844,357.95001220703125,274.04620361328125,11179176,,353.32986392165594,,1.2784932006762801,0.7494017506415782,,,,,,4.856231689453125,,0.009536249444743738,-0.0002443707572331588,0
2012-01-11,358.5,361.86248779296875,351.625,353.32501220703125,270.5053405761719,13795800,,353.3294018535965,,1.1130726104146902,0.8221359225962007,,,,,,10.23748779296875,,-0.012920798553639923,-0.009739281683927126,0
2012-01-12,343.75,343.75,322.2562561035156,323.53125,247.6951446533203,48970600,,350.4914826294445,,-1.4059253797861402,0.3765236621197326,,,,,,31.068756103515625,,-0.0843239543697335,-0.08869246730106639,1
2012-01-13,327.25,327.375,319.03125,323.0249938964844,247.30764770507812,20898944,,347.87562655963876,,-3.40386246435736,-0.3795535631756859,,,,,,8.34375,,-0.0015647827018738791,-0.0875483147861219,1
2012-01-16,322.65625,330.5,322.38751220703125,330.01873779296875,252.66195678710938,13188736,,346.17497048662256,,-4.372501835577054,-1.1781432176559596,,,,,,8.11248779296875,,0.021650782535810764,-0.06923909083342794,0
2012-01-17,331.25,334.1000061035156,329.23126220703125,332.7562561035156,254.7578582763672,8740424,,344.8969976882314,,-4.863200716055019,-1.9151547173357715,,,,,,4.868743896484375,,0.008295039029766249,-0.07038344809147279,0
2012-01-18,330.5,330.5,323.125,326.5062561035156,249.97286987304688,9700424,,343.14549848968704,,-5.690805813682516,-2.6702849366051207,,,,,,9.631256103515625,,-0.01878251688844501,-0.07590392748023489,1
